Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR - Curve,Training Time,Inference Time
pittsburg-bridges-TYPE,GentleBoost,8,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.166666667,0.916666667,0.061664422,0.416666667,0.69755291,0.386444805,0.483574289,0.538095238
pittsburg-bridges-TYPE,GentleBoost,9,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.196969697,0.555555556,0.56005291,0.273809524,0.50462963,0.309268278,0.484242584,0.57037037
pittsburg-bridges-TYPE,GentleBoost,10,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.196969697,0.80952381,0.063838283,0.833333333,0.796097884,0.703309885,0.512993697,0.488888889
pittsburg-bridges-TYPE,Gradient boosting,1,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.818181818,0.583333333,0.391798942,0.555555556,0.691269841,0.524603175,0.151876247,0.391798942
pittsburg-bridges-TYPE,Gradient boosting,2,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.939393939,0.916666667,0.041896264,0.75,0.867592593,0.775099206,0.106432221,0.4
pittsburg-bridges-TYPE,Gradient boosting,3,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.818181818,0.583333333,0.4,0.555555556,0.753703704,0.568981481,0.151840123,0.366666667
pittsburg-bridges-TYPE,Gradient boosting,4,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.848484848,0.683333333,0.042227983,0.388888889,0.733333333,0.450313853,0.167174773,0.37037037
pittsburg-bridges-TYPE,Gradient boosting,5,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.848484848,0.666666667,0.366666667,0.416666667,0.62962963,0.535984848,0.106222702,0.409259259
pittsburg-bridges-TYPE,Gradient boosting,6,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.848484848,0.55,0.041898131,0.25,0.855555556,0.463425926,0.120325522,0.307407407
pittsburg-bridges-TYPE,Gradient boosting,7,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.848484848,0.888888889,0.37037037,0.611111111,0.881481481,0.682407407,0.104506811,0.25787037
pittsburg-bridges-TYPE,Gradient boosting,8,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.878787879,0.716666667,0.042376002,0.5,0.740740741,0.613369408,0.137495272,0.394444444
pittsburg-bridges-TYPE,Gradient boosting,9,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.833333333,0.666666667,0.409259259,0.402777778,0.77037037,0.494130291,0.136064761,0.37962963
pittsburg-bridges-TYPE,Gradient boosting,10,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.3}",0.893939394,0.633333333,0.041724722,0.513888889,0.757407407,0.581884921,0.119834235,0.285185185
pittsburg-bridges-TYPE,DEBoost,1,,0.848484848,0.888888889,0.708333333,0.888888889,0.590277778,0.616161616,5.22842913,0.708333333
pittsburg-bridges-TYPE,DEBoost,2,,0.818181818,0.694444444,0.330116868,0.694444444,0.569212963,0.512626263,5.37955761,0.556018519
pittsburg-bridges-TYPE,DEBoost,3,,0.818181818,0.875,0.556018519,0.847222222,0.573743386,0.595959596,5.530693314,0.727513228
pittsburg-bridges-TYPE,DEBoost,4,,0.878787879,0.716666667,0.354385614,0.8,0.669444444,0.637121212,5.364472216,0.377777778
pittsburg-bridges-TYPE,DEBoost,5,,0.848484848,0.666666667,0.727513228,0.777777778,0.563095238,0.532828283,5.288911588,0.54047619
pittsburg-bridges-TYPE,DEBoost,6,,0.893939394,0.9,0.369971991,1,0.7,0.753030303,5.213343736,0.5
pittsburg-bridges-TYPE,DEBoost,7,,0.833333333,0.722222222,0.377777778,0.861111111,0.588789683,0.609848485,5.228479703,0.544642857
pittsburg-bridges-TYPE,DEBoost,8,,0.848484848,0.805555556,0.356047392,0.944444444,0.552777778,0.609848485,5.213350961,0.7
pittsburg-bridges-TYPE,DEBoost,9,,0.878787879,0.833333333,0.54047619,0.944444444,0.646990741,0.656565657,5.365328355,0.539351852
pittsburg-bridges-TYPE,DEBoost,10,,0.833333333,0.888888889,0.349398732,0.916666667,0.657175926,0.622474747,5.213347348,0.574537037
